,name,id,tags,val/llmse_climax,checkpoint_path
213,INM-CM4-8_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_12h18m_on_Jan_09_q2gpw6dp,q2gpw6dp,"['INM-CM4-8', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07273716783392083,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/q2gpw6dp/checkpoints/epoch=49-step=2950.ckpt
217,GFDL-ESM4_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_11h22m_on_Jan_09_9rjcis33,9rjcis33,"['GFDL-ESM4', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.21105857716973797,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/9rjcis33/checkpoints/epoch=49-step=2950.ckpt
221,FGOALS-f3-L_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_10h26m_on_Jan_09_zm0y6jpv,zm0y6jpv,"['FGOALS-f3-L', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.12636355193207646,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/zm0y6jpv/checkpoints/epoch=49-step=2950.ckpt
222,EC-Earth3-Veg-LR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_10h12m_on_Jan_09_c7kgooud,c7kgooud,"['EC-Earth3-Veg-LR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.1121791284615857,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/c7kgooud/checkpoints/epoch=49-step=2950.ckpt
226,EC-Earth3_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_09h17m_on_Jan_09_elftd7f1,elftd7f1,"['EC-Earth3', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.1070805765027446,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/elftd7f1/checkpoints/epoch=49-step=2950.ckpt
229,CNRM-CM6-1-HR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_08h35m_on_Jan_09_lcg83nsl,lcg83nsl,"['CNRM-CM6-1-HR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.11225119113131574,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/lcg83nsl/checkpoints/epoch=49-step=2950.ckpt
232,CAS-ESM2-0_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_07h54m_on_Jan_09_n7zqz784,n7zqz784,"['CAS-ESM2-0', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08496462623945308,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/n7zqz784/checkpoints/epoch=49-step=2950.ckpt
235,BCC-CSM2-MR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_07h13m_on_Jan_09_lh0or3hq,lh0or3hq,"['BCC-CSM2-MR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08507559475759247,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/lh0or3hq/checkpoints/epoch=49-step=2950.ckpt
237,AWI-CM-1-1-MR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_06h45m_on_Jan_09_yls3fm33,yls3fm33,"['AWI-CM-1-1-MR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.1199340909652706,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/yls3fm33/checkpoints/epoch=49-step=2950.ckpt
240,NorESM2-LM_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_06h04m_on_Jan_09_yl98ae9t,yl98ae9t,"['NorESM2-LM', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08259431038193944,/network/scratch/c/charlotte.lange/neurips23/causalpaca/runs/emulator/yl98ae9t/checkpoints/epoch=49-step=2950.ckpt
