variable_id,description,table_id(s)
emioa,Primary Emission and Chemical Production of Dry Aerosol Organic Matter [kg m-2 s-1],AERmon
emiso2,Total Emission Rate of SO2 [kg m-2 s-1],AERmon
emiso4,Total Direct Emission Rate of SO4 [kg m-2 s-1],AERmon
emiss,Total Emission Rate of sea-salt aerosol [kg m-2 s-1],AERmon
emivoc,Total Emission Rate of NMVOC [kg m-2 s-1],AERmon
eow,Open Water Evaporation [kg m-2 s-1],Eday
eparag100,Downward Flux of Aragonite [mol m-2 s-1],Omon
epc100,Downward Flux of Particulate Organic Carbon [mol m-2 s-1],Omon
epcalc100,Downward Flux of Calcite [mol m-2 s-1],Omon
epfe100,Downward Flux of Particulate Iron [mol m-2 s-1],Omon
epfy,Northward Component of the Eliassen-Palm Flux [m3 s-2],"EdayZ, EmonZ"
epfz,Upward Component of the Eliassen-Palm Flux [m3 s-2],"EdayZ, EmonZ"
epn100,Downward Flux of Particulate Nitrogen [mol m-2 s-1],Omon
epp100,Downward Flux of Particulate Phosphorus [mol m-2 s-1],Omon
epsi100,Downward Flux of Particulate Silicon [mol m-2 s-1],Omon
es,Bare Soil Evaporation [kg m-2 s-1],Eday
evspsbl,Evaporation Including Sublimation and Transpiration [kg m-2 s-1],Amon
evspsblpot,Potential Evapotranspiration [kg m-2 s-1],"Eday, Emon"
evspsblsoi,Water Evaporation from Soil [kg m-2 s-1],Lmon
evspsblveg,Evaporation from Canopy [kg m-2 s-1],Lmon
evs,Water Evaporation Flux Where Ice Free Ocean over Sea [kg m-2 s-1],Omon
evu,Eddy Viscosity Coefficient for Momentum [m2 s-1],CFmon
exparag,Downward Flux of Aragonite [mol m-2 s-1],Oyr
expcalc,Downward Flux of Calcite [mol m-2 s-1],"Emon, Oyr"
expc,Downward Flux of Particulate Organic Carbon [mol m-2 s-1],"Omon, Oyr"
expfe,Sinking Particulate Iron Flux [mol m-2 s-1],"Emon, Oyr"
expn,Sinking Particulate Organic Nitrogen Flux [mol m-2 s-1],"Emon, Oyr"
expp,Sinking Particulate Organic Phosphorus Flux [mol m-2 s-1],"Emon, Oyr"
expsi,Sinking Particulate Silicon Flux [mol m-2 s-1],"Emon, Oyr"
fAnthDisturb,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kg m-2 s-1]",Emon
fbddtalk,Rate of Change of Biological Alkalinity Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdin,Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdip,Rate of Change of Dissolved Inorganic Phosphorus due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fbddtdisi,Rate of Change of Dissolved Inorganic Silicon due to Biological Activity [mol m-2 s-1],"Emon, Omon"
fBNF,Biological Nitrogen Fixation [kg m-2 s-1],Emon
fCLandToOcean,Lateral Transfer of Carbon out of Grid Cell That Eventually Goes into Ocean [kg m-2 s-1],Emon
fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kg m-2 s-1],Amon
fco2fos,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kg m-2 s-1],Amon
fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kg m-2 s-1],Amon
fddtalk,Rate of Change of Total Alkalinity [mol m-2 s-1],Omon
fddtdic,Rate of Change of Net Dissolved Inorganic Carbon [mol m-2 s-1],Omon
fddtdife,Rate of Change of Net Dissolved Inorganic Iron [mol m-2 s-1],Omon
fddtdin,Rate of Change of Net Dissolved Inorganic Nitrogen [mol m-2 s-1],Omon
fddtdip,Rate of Change of Net Dissolved Inorganic Phosphorus [mol m-2 s-1],Omon
fddtdisi,Rate of Change of Net Dissolved Inorganic Silicon [mol m-2 s-1],Omon
