variable_id,description,table_id(s)
zg500,Geopotential Height at 500hPa [m],"6hrPlevPt, AERday"
zg,Geopotential Height [m],"6hrPlevPt, AERmon, AERmonZ, Amon, CFsubhr, Eday, EdayZ, Emon, day"
zhalf,Altitude of Model Half-Levels [m],CF3hr
zhalfo,Depth Below Geoid of Interfaces Between Ocean Layers [m],Omon
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water [mol m-3],"Omon, Oyr"
zmesoos,Surface Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water [mol m-3],Omon
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water [mol m-3],"Omon, Oyr"
zmicroos,Surface Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water [mol m-3],Omon
zmtnt,Zonal Mean Diabatic Heating Rates [K s-1],EmonZ
zo2min,Depth of Oxygen Minimum Concentration [m],Omon
zoocos,Surface Zooplankton Carbon Concentration [mol m-3],Omon
zooc,Zooplankton Carbon Concentration [mol m-3],"Omon, Oyr"
zos,Sea Surface Height Above Geoid [m],Omon
zossq,Square of Sea Surface Height Above Geoid [m2],Omon
zostoga,Global Average Thermosteric Sea Level Change [m],Omon
zsatarag,Aragonite Saturation Depth [m],Omon
zsatcalc,Calcite Saturation Depth [m],Omon
ztp,Tropopause Altitude Above Geoid [m],AERmon
